刘蛋蛋o0策成 男/江苏         加关注
161 :装饰Tips：这一角类似咖啡吧台，闲暇时可以约上几个好友在这[嘻嘻]里聊聊天。 ​​​

162 :【枕芯里藏多少霉菌】北京协和医院变态[江南style]反应科教授王良录指出，曾用荞麦皮枕芯做过试验，发现从来没洗过的枕芯里面， 有大量的灰尘、螨虫和霉菌!枕芯每三个月需要放在阳光下暴晒并清洗。 ​​​

163 :【萨尔河湾】萨尔河湾是一道特别的风景线。在梅尔兹希与萨尔堡之间，萨尔河[good]堑入坚硬的岩石层中，在梅特拉赫形成了一段下沉的河流弯道，这是萨尔州最美的景观之一。在梅特拉赫的欧尔绍尔茨地段，人们可以在克勒夫观风景点俯瞰脚下的萨尔河湾。沿着萨尔河湾有一截非常好的供远足和骑自行车的路段。 ​​​

164 :有的新人开始“人情[微风]世故”的培训课程，也许你可以教授客户来了，应该主动倒茶；若想离职，要说再见等等简单的程式性的机械行为模式。但为什么要这样做，以及在这样做的过程中能否享受到快乐，恐怕就不是短时间的培训能解决问题的。 ​​​

165 :【茄汁培根焗贝壳粉】1.贝壳通心粉加盐煮熟沥干,入橄榄油拌匀;2.锅热入黄油融化入培根片,大火煎炒出香味盛出;3.入去皮番茄丁,加白糖炒至起糊;4.入番茄沙司加水煮1min;5.入焯熟豌豆.培根.贝壳通心粉炒匀入黑胡[干杯]椒碎;6.炒好入碗,表面铺马苏里拉芝士,入预热的烤箱180°焗烤10min！ ​​​

166 :你我之间，不是错过，就是过错。我以为时间会是一剂很好的疗伤药，却也没想到用来入药的是我的心。所以是煎是熬。在爱情的世界里，有些人爱了，有些人伤了，有些人恨了，还有些人的爱从一开始就只是回忆。于是[雪花]，总有人说，如果能重新开始，那该多好。但是，曾经已过。爱过了。爱，过了~~~ ​​​

167 :【职场里面的八七五六三二一】①最重要的是八个字：我承认我是犯过[睡觉]错误。②最重要的七个字：你干了一件好事。③最重要的六个字：你的看法如何。④最重要的五个字：咱们一起干,⑤最重要的四个字：不妨试试；⑥最重要的三个字：谢谢您。⑦最重要的两个字：咱们。⑧最重要的一个字：您。 ​​​

168 :想让你的[握手]讲话听上去更有力。要做到这一点并不难，语言就像一个人的名片，你完全可以通过言辞来伸张你的个性，使自己变得与众不同。我们头脑中已经有了成千上万的词汇，现在的问题就是，你要如何来唤醒这些词汇，使它们成为我们成功的资本。 ​​​

169 :【干锅菜花】菜花洗净掰成小块。坐锅烧热水，水开后下菜花焯一下滤水。干红椒剪段，葱头拍碎，生姜切片，蒜头拍碎。干虾仁清水泡着。青红椒洗净切斜[左哼哼]段。坐锅热油，下葱白蒜头生姜煸香。下滤干水的干虾仁煸香。倒入干红椒翻炒。倒入焯过水的菜花翻炒。加盐、生抽、蚝油调味，倒入青红椒，炒至断 ​​​

170 :Sometimes the hardest choices w[熊猫]e made end up being the best thing we could have ever done for ourselves.~~有时候，我们做出的最艰难的决定，最终成为我们做过的最漂亮的事。 ​​​

171 :【生病时需要忌口的东西】1咳嗽：冰淇淋,橘子,花生,酒,甜食；2感冒：香蕉,橘子,羊肉,烟酒；3、急性胃炎：油炸食物,酒,辣椒；4肠炎：香蕉,蕃石榴；5心脏病：暴饮暴食,高胆固醇,太[困死了]咸食物；6糖尿病：酒,油腻,高热量食物；7痔疮便血：烟,酒,辣椒,油炸物；8.失眠症：辣椒,酒,咖啡,葱,蒜。 ​​​

172 :首届中央监察委员会中8[偷乐]人牺牲，副主席尸骨无存。第一届中央监察委员会十个人组成，主席是王荷波，副主席杨匏安，这十个人应该说都是我们党内比较突出的领导干部。这些同志担任监委以后，应说都从不同程度上发挥了他们重要的作用，而且也经受了革命斗争的考验。所以这十个人当中，最后牺牲的有八 ​​​

173 :1949年5月15日，张轸率部起义武汉和平解放。5月15日，张轸率部5个师2万余人宣布起义，在贺胜桥西北地区截[闭嘴]击白崇禧退却部队，俘获部分人枪。起义部队不久改编为第四野战军一部。张轸起义对中共顺利解放武汉作出了贡献。 ​​​

174 :【冬季宝宝嘴唇防干燥】不能使用成人润唇膏，成人润唇膏会添加很多的化学成分和香料。千万不要用甘油，甘油有脱水作用，会越抹越干。2岁以上儿童选用婴幼儿专用润唇膏，2岁以下宝宝可用麻油或维生素C胶囊中的油脂[兔子]涂抹。饭后用温水清洁宝宝嘴唇，然后涂抹润唇膏，睡前要再抹一次。还有吗？ ​​​

175 :【对孩子有致命伤害的冷暴力】1你很忙，当孩子呼唤你的时候，顾不上孩子；2你正在[草泥马]生孩子的气的时候，孩子呼唤你的时候，你不想理他，想给他点颜色看看；3表面与与孩子玩耍，陪伴孩子，其实心猿意马，心不在焉；5孩子犯错后向爸爸妈妈道歉，爸爸妈妈直接拒绝或者冷漠对待。 ​​​

176 :作为一个职场新人，你只比别人晚来这个地方[神马]工作，并不代表你就要受到不平等待遇，当然,不被欺负的前提条件是自己要安分守己，如果是你自己的问题，那你就活该被欺负。 ​​​

177 :大学时期宿舍里有个室友不停地放屁，而且是不响但是很臭的那种。一连放十几个，一起熬夜打游戏的室友实在忍不住了，问：你[萌]是不是要拉肚子了? 答：是。又问：那你怎么还不去拉?答：舍不得。再问：有啥这么舍不得?答：怕拉完了下半夜饿了。 ​​​

178 :Now I find myself in a world which for me is worse than death. A world in which there is no place for me.现在我发现自己活在一个比死还要痛苦的世[绿丝带]界,一个无我容身之处的世界. ​​​

179 :如果巨蟹很认真的在和你诉苦，你或许觉得他说的其实没有什么大不了的，但是请在想象中将他们所描述的苦乘以10，这大概就是他正在遭受[花心]的。巨蟹对疼痛、苦难承受力惊人，很可能手指被车门夹到的时候他们只是皱了一下眉，生病时也硬是抗了下来。事实上他们经常选择干脆什么也不说。 ​​​

180 :【适量喝啤酒】适量喝啤酒的受试者比滴酒不沾者患心脏病的危险降低42%。啤酒花中含有丰富的黄腐酚，有抗癌和降低坏胆固醇作用。成人每次饮用量最好不超过300毫升(约一[落叶]听)，一天不超过500毫升(约一瓶)。 ​​​

181 :装饰Tips[奥特曼]：烤箱等都采取嵌入式，干净整洁。几盆小盆栽为黑白的厨房增添了不少春意。 ​​​

182 :人最好的状态是，脸上看起来比实际年[蛋糕]龄年轻三五岁、心理比实际年龄成熟三五岁。 ​​​

183 :誓与地球[好爱哦]共存亡！ ​​​

184 :编辑点评：卧室的主要色调还是以白色为主，但在床品的选择上，设计师则选用深灰色的布[噢耶]料配上颜色相间的枕套，显得相当个性化，让人觉得舒适和温馨。 ​​​

185 :【牛奶美白晒红的肌肤】脸部皮[爱你]肤如因过度日晒而红肿疼痛时，可以用冷牛奶漂洗，然后再以浸泡过牛奶的纱布敷在脸上，疼痛及发红的症状就会减轻，如依然疼痛不已，表示有发炎现象，最好找皮肤科医生诊治。 ​​​

186 :【最不喜欢女友话多的星座男生】冠军（狮子座:喜欢[围脖][手套]安静,不喜欢听你唠叨）、亚军（白羊座）、季军（处女座）、第四名（双子座）、第五名（双鱼座）、第六名（天秤座）、第七名（天蝎座）、第八名（金牛座）、第九名（巨蟹座）、第十名（射手座）、第十一名（摩羯座）、第十二名（水瓶座）。 ​​​

187 :【圆山饭店】圆山饭店的美，在于中国式的雄伟建筑，富丽堂皇的古典气氛；圆山的神秘，在于传奇性的历史色彩和密道传说；圆山饭店的寂静清幽，在于它的远离尘嚣和邻近闲情雅致[lt切克闹]的风景线。 ​​​

188 :【英菲尼迪全新SUV明年引入 与Q50L共引擎】从英菲尼迪官方获悉：这款车型的量产有望在2016年实现，并且将同步引入国内市[闭嘴]场。届时会与包括奥迪Q3\奔驰GLA在内的紧凑级SUV进行竞争。在动力方面，该车将与首款国产车型Q50L采用相同的2.0T涡轮增压引擎。 ​​​

189 :这就是知识改[温暖帽子]变了原本好的命运！ ​​​

190 :【月子餐：猪排炖黄豆芽汤】1.[同意]将猪小排骨洗净后，切成4厘米长段，放入沸水中焯去血沫。2.砂锅内放入热水，将处理过的小排骨、月子酒、葱段、姜片一同放入锅中，小火炖1小时3.1小时后，将黄豆芽放入，用大火煮汤，再小火炖15分钟。4.放入适量盐调味，拣出葱段、姜片。 ​​​

191 :原来弼马温是的官比太上老君还好，太上老君不过是个烧炉子的[心]。。 ​​​

192 :天蝎座[做鬼脸]都有些双重的性格，外露越冷的天蝎，内里就越像个小精灵很可爱的。但可惜的是TA的这点很少能被外人看到，甚至父母都看不到。但是作为TA的爱人，作为TA最在乎的人，Ta就可以轻易的在Ta面前展露自己的另一面，调皮可爱的性格便会跑出来。 ​​​

193 :【最受学生爱戴的星座老师】冠军（双鱼座：亲和力十足，善于倾听）、亚军（摩羯座）、季军（天秤座）、第四名（双子座）、第五名（射手座）[噢耶]、第六名（巨蟹座）、第七名（处女座）、第八名（天蝎座）、第九名（水瓶座）、第十名（狮子座）、第十一名（白羊座）、第十二名（金牛座）。 ​​​

194 :【门源】油菜花开的季节，高原上天高云淡，浩瀚无垠的金黄色的花海，在[ok]蓝天、白云、雪峰、碧水的衬托下，冷艳与暖色同芳，清高与富贵共显，自与别处有很大的不同，也给人非常别样的感受。 ​​​

