徐晓艳_介 男/江苏         加关注
166 :Be real with me, or just leave me alon[偷乐]e. 真诚待我，否则就请离我远点儿。 ​​​

167 :【宝塔山】宝塔山并不高，但它却十分显眼。几个沟壑拱起的宝塔山恰如一颗宝珠。山上之塔，巍然直插蓝天，如一忠诚的卫士守卫着延安古城。它是历史名城延安的标志，是革命圣地的象征。宝塔山[鼓掌]，古称丰林山，宋时改名为嘉岭山。 ​​​

168 :【糖对人体有12种伤害】1.让肝脏变胖。2.使你变成大胃王。3.诱发头痛。4.加速皮肤老化。5.增加血管压力。6.让人没精神。7.导致糖尿病。8.诱发心脏病。9.致使胆固醇紊乱。10.引发认知障碍。11.出现上瘾症状。12.癌症风险加大。预防建议：控[生病]制糖分的摄入量。 ​​​

169 :世界最老的父亲印度男子拉马吉特·拉加夫日前被曝遭妻子抛弃，妻子出走时还带走了他们刚满周岁的小儿子。2010年11月，94岁的拉加夫宣布自己首度荣升父亲，在当时引起巨大轰动，成为全球最年长的新生儿父亲。而且更令人惊讶的是，2012年他又有了第二个孩子，刷新[偷乐]自己创下的世界最老父亲的记录。 ​​​

170 :汪星人的宝座[可爱]！啊汪，不带这么欺负喵星人的，虽然这些二逼还是一脸享受的表情。。。 ​​​

171 :鹅卵石移动电源，模拟鹅暖石的自然形态，效仿水流风蚀的表面处理，无棱角的饱满曲面，勾勒出产品最出色的持握感。采用三星电芯，容量高达10400mAh，重量却[神马]只有200g，轻巧好拿。 ​​​

172 :生活是艰苦[失望]的，但我应更坚强。 ​​​

173 :在线看A片有风险，尤其是[打哈气]蹭网的时候！ ​​​

174 :不见你娇美的姿容已经一个星期了，真如七年一样。在这七天里，你的倩影无时不刻在我心海浮[good]现！ ​​​

175 :【右边脸长痘痘】右边脸痘痘是肺部有炎症的反映。如果你肺火上升、喉咙[晕]干燥、痰多咳嗽，留意一下右脸颊痘痘。建议：禁食易敏食物。停止吃海鲜和芒果、酒类食物等易敏食物，过敏会让你的气管、支气管、肺部更加不适。 ​​​

176 :【养生讲堂】在所有材质的杯子里，玻璃杯是很健康的。玻璃杯在烧制的过程中不含有机的化学物质，当人们用玻璃杯喝水或其他饮品的时候，不必担心化学物质会被喝进肚里去，而且玻璃表面光滑，容易清洗，细菌和污垢不容易在杯壁孳生，所以[可爱]人们用玻璃杯喝水是健康安全的。 ​​​

177 :还好[亲亲]不是亲生的…… ​​​

178 :????在回小区[ok]的路上，看见一个小男孩拿着葫芦对一个小女孩说：“我喊你一声，你敢应吗？” ​​​

179 :【常常被我们扔掉了的营养】1、扔掉抗癌物质：茄子、萝卜、苹果、红薯、番茄的皮；2、扔掉的维生素：莴笋的叶子、白菜的老叶；3、扔掉的胶原蛋白：鸡鸭的皮，鱼[悲催]鳞；4、扔到的美容强身好宝贝：骨头、骨髓、软骨；5、扔掉的最为营养的部分：豆芽的两头、青椒生籽白色海绵部分、冬瓜白色芯部。 ​​​

180 :Don't be discouraged; it's often the last k[浮云]ey in the bunch that opens the lock。 ​​​

181 :【DIY黄瓜眼膜】[互粉]敷起长时间面对电脑双眼容易疲劳，这时候可以敷上几片冰镇黄瓜或者土豆片，及时舒缓双眼的疲劳。将黄瓜或者土豆切成薄片，敷在眼眼部，然后闭目几分钟，再用冰冻过的纱布浸湿覆盖的双眼上，这样就能很好的缓解眼睛疲劳。 ​​​

182 :【可能很多粑粑麻麻都听说过夜晚不能开灯睡觉】并且有不少专家表示开灯睡觉可能引发癌症、糖尿病等疾病，并且容易性早熟！！OMG，这是为什么呢？研究显示光线[得意地笑]会影响松果体分泌褪黑素，这直接影响睡眠的好坏，进而影响人的免疫功能。 ​​​

183 :圆形跑道的设计在全世界都有相同标准，这个设计为这种传统的跑道形式添加了一个伸展出的分道。设计师截取了圆形跑道长边的一条切[围观]线，然后让它在垂直方向缓缓升起，形成一个缓坡，这个缓坡正好包裹了观众看台，下方还容纳了一个小型更衣室。这个鼓出的跑道巧妙的与整体相融合，给人一种3D立体效果 ​​​

184 :The Art of Plating主厨们为了讨好嘴刁的食客，在摆盘上煞费苦心，他们把餐盘当做[睡觉]画板，精雕细琢的创作艺术料理，利用食材的纹理、颜色、形状、结构，来平衡视觉与味觉，让人还没有尝到美食，就先醉在这摆盘里。 ​​​

185 :【闭合性粉刺不同于普通的青春痘】它们通常数量较多，藏在皮肤底下一颗颗使皮肤隆起，若在强光处观察，便会觉[话筒]得面部坑坑洼洼，凹凸不平闭合性粉刺经过酝酿一段时间便会慢慢地长大，最后变成从皮肤深层冒出的青春痘。粉刺也是痘需要及时得到治疗，效果会更好。 ​​​

186 :【高迁古民居】始建于元代，几经变迁，依然难掩其精致气息。山水环抱之中，这座历经百年而依然活着的古民居，愈[打哈气]发显得时间的奇妙。现存的每一座宅院各具风格，工艺精美，巧夺天工。慢慢行走其间，细细寻看，总一个角落让人不由驻足。 ​​​

187 :【职场心理资本】①希望：一个没有希望的人不可能创造价值；②乐观：乐观者把不好的事归结到暂时的原因，而把好事归结到持久的原因；③韧性：从逆境和压力中迅速恢复的心理能力；④[奥特曼]主观幸福感：自己心里觉得幸福,才是真正幸福；⑤情商：感觉自己和他人的感受,自我激励，有效管理情绪。 ​​​

188 :大爷真[汽车]会玩！ ​​​

189 :俄罗斯被称做“战斗民族”，如今看来果真名不虚传日前，一名俄国女子陪同男友玩高空弹跳(即蹦极)，但她并未穿上任何装备，而是直接抱着配备齐全的男友一[落叶]跃而下，当场吓坏旁人。 ​​​

190 :【禁用浓度过高的活性成[太开心]分】浓度过高的活性成分，包括果酸、水杨酸、维生素A酸，这些都不适合皮肤较薄的女性使用，特别是处在换季的秋冬季。另外浓度过高的成分，易造成肌肤营养过剩，皮肤就像被腌制了一样，引起红疹、小脓疱、发痒。 ​​​

191 :【曝新一代大众CC假想图】海外媒体曝光了新一代大众CC的假想图，在设计上采用了新一代Passat（B8）的设计元素。新Passat已经于2014[失望]年7月正式发布。新一代大众CC采用了最新的前脸设计，采用了大尺寸的前格栅，前大灯更显犀利，与新一代Passat相比，新大众CC车身设计上采用了溜背式风格，更显动感 ​​​

192 :只是懂[偷乐]得付出，可是从不好意思提回报的人在职场上吃不开。这个时代，没人觉得你只干活，没要求，不索取是精神高尚。 ​​​

193 :【吃肉不吃蒜营养减一半】俗话说，吃肉不吃蒜营养减一半，有一定道理。因为瘦肉是我们获取B族维生素的重要来源，而蒜可以提高肉中[赞]维生素B1的吸收率。除此之外，大蒜素本身还有助降血脂、抗癌，当然，吃肉时嚼点蒜，还能解腻。 ​​​

194 :【猪皮烧海带】猪肉皮去毛，提前小火40分钟煮熟。海带结、腐竹泡发好；肉皮切菱形块，其余食材切片；锅中放油，爆香葱片，放入肉皮、海带结、腐竹，烹入料酒、盐、糖、鸡精、酱油、蚝油，补充少许清水，小火炖制片刻，至汤汁收[咖啡]浓。汤汁收浓后，倒入葱头、红椒炒熟即可。 ​​​

195 :哆啦A梦和[实习]大雄的故事讲述的道理~ ​​​

196 :狗狗不止是主人最好的朋友，在一个家庭里，它也是非常重要的成员之一。在许多养狗人的家里，狗狗最好的朋友其实是孩子们。他们花大量的时间陪狗狗[互粉]玩耍，如果在同时你能教给他们正确照顾狗狗的方法，并让他们养成习惯，这会是一个非常好的培养孩子责任心的机会 ​​​

197 :企业要结合自身的实际去建立对技术人员业绩考核制度.选择业绩评价工具、完善工作标准[左哼哼]、推崇计划管理、注重监督检查是对技术人员进行业绩考核的行之有效的方法。 ​​​

198 :现代风格的简单阳台书房，将原本为开放式的阳台空间封闭起来设计了一个独立的书房，咖啡色的背景墙，简[礼物]单的书桌台面，和现代化的办公椅。一个简单、大气、优雅的书房就诞生了! ​​​

199 :狗?狗?是?人?类?永?远?的?朋?友?，?请?爱?护?[呵呵]他?们?！ ​​​

