慕容地空 女/甘肃         加关注
158 :【雪佛兰全新迈锐宝或年底上市】近日我们从网络中获悉，刚刚在2015上海车展中发布的全新迈锐宝预计在年底上市。该车采用雪佛兰最新的家族式设计，其狭长的中网格栅与全新样式的前大灯很好的融为一体，而下格栅则为时下流行的大嘴式造型，同时品牌LOGO也移至中网格栅中央。 ​​​

159 :夜灯插座（SnapRays GuideLight），只要将插座前板拆下，将它安装上去就能使用了。它的底部集成了LED灯作为夜间照明系统，并有一个光线传感器来控制LED灯的开光。当光线不足的时候，传感器就会发出指令开启面板底部的LED灯作为照明。既不用担心占用插孔，也不用担心小孩玩弄的安全隐患。 ​​​

160 :I might look like a tough chick and I am.But I'm also a hopeless romantic inside. ​​​

161 :请问有木有这种打闹的狗子可以参加的活动？ ​​​

162 :认真的人真可怕！ ​​​

163 :细节将决定成败…… ​​​

164 :贼喜欢！ ​​​

165 :【怎样坐着不长小肚子】很多上班族工作时间一长，整个人就会呈现“C字型”。这种坐姿会令臀部变大变宽，小腹凸出，肌肉松弛。如果坐得直，呈现“L字型”坐姿，即挺腰端坐，含胸收腹，两腿平放，就起到了锻炼腹部肌肉的作用，有助于塑造身体曲线，避免长小肚子。 ​​​

166 :据英国媒体报道，阿根廷圣拉斐尔市至少3名目击者在当地一个人造湖上空看到了一个奇怪的不明飞行物。由于它的模样十分古怪，有人认为它是一个外星不明飞行物，还有人怀疑它是一只灭绝了数千万年的史前“翼龙”！ ​​​

167 :是喜欢这首歌 还是喜欢这首旋律背后的故事，好像歌词写的是自己。《如果没有离开》潘虹樾。music.sina.com.cn/yueku/i/1229349.html ​​​

168 :陆毅与妻女回眸照曝光，甜蜜附言：我的前世今生，网友直呼：真美好。 ​​​

169 :《武装神姬》 03话 激突 ，在没有发生第三次世界大战，也没有宇宙人的侵袭，与现代的联系相当紧密而理所当然的未来。在那个世界中机器人成了很平常的存在，在各个领域各种场合中活跃着。神姬就是为了辅佐人类而制作出来的全高15CM的可爱伙伴。她们具备智慧与感情，全心全意地为自己的主人服务着。 ​​​

170 :“原来50个人做的工作可以分给200名士兵做。” ​​​

171 :李宗盛2010年一首演唱会现场录音的《给自己的歌》，唱成我们午夜梦回每个人自己心里的歌。匆匆三年，只听一首《给自己的歌》匆匆十年，李宗盛唱出十年来唯一一首录音室作品《山丘》！~ ​​​

172 :Jennifer Lopez《Papi》，詹妮弗洛佩兹大爱，哈哈，这MTV拍的太有意思太夸张了，有意思。喜欢！~ ​​​

173 :贴身保镖揭徐子淇豪门生活：三天两头被催生子，看来豪门媳妇真的不是一般人能当的！！ ​​​

174 :【背上毛驴去远行！】实拍巴基斯坦男子背毛驴搭客车，好有爱的主人，哈哈哈~~要带毛驴远行，它不会上车怎么办？背上去！PS：主淫你辛苦了！ ​​​

175 :原创微电影《老爸》同名主题曲MV：那些年，难忘给予我们无私父爱的老爸。真的很感人，在不知不觉中就把这首歌听完啦。 ​​​

176 :《翻转的Patema》 04，翻转的Patema全集讲述的是一个女孩子和男孩子的故事，男孩子遇到了女孩子。是一个非常王道，但同时又非常奇怪的故事…… ​​​

177 :严爵《吾在场证明》MV首播。这首歌的MV是在加拿大拍摄的，里面严爵第一次开卡车，而且还要边开边唱对嘴，严爵称是很特殊的体验，其实还满危险的因为在高速公路上时速差不多每小时130公里。 ​​​

178 :终于有一次他又坐到她身边她发火了。“还让不让人做事了，不知道你在我会紧张吗？” ​​​

179 :天津妞爱吐槽，年度最烂石敢duang，神一样的电视剧，小伙伴们~~大家一起来找茬吧！ ​​​

180 :战斗民族重口味作死集锦，人类是强大的，哥哥们，选真心话吧，别再大冒险了，太恶心啊！ ​​​

181 :TS Ent.新7人女团SONAMOO出道专辑《Deja Vu》同名主打歌完整版MV公开，强烈的节奏和充满魄力和力量感的舞动，呈现Hip-Hop Girl的强劲魅力。 ​​​

182 :贺岁新作《群侠过大年》：容嬷嬷要蹭“年夜饭”，白蛇一家看“春晚”，陵越屠苏来“守岁”，宝玉黛玉要“压岁钱”。团聚年夜饭，快乐过新年，经典角色陪你一起过大年！ ​​​

183 :【每日一囧】那些年女神做的菜，说多了都是泪！解密袋鼠怎么挠痒痒？妹纸交朋友的真谛；妹纸如何快速试衣服！解密中国第一神曲。 ​​​

184 :暗黑3巫医吹箫流单刷炼狱大菠萝 ​​​

185 :【《百变大咖秀》何炅谢娜上演民国绝恋】何炅、谢娜变身徐志摩、林徽因，上演山寨版《人间四月天》。戴上眼镜的何老师，书生气十足，颇具大家风范；而一向古灵精怪的谢娜，身着碎花上衣，左手抚耳的造型幽幽地透出几分民国闺秀的韵味。 ​​​

186 :“看过了好多人的分分合合，或者在一起也不觉得快乐，总是在心里偷偷猜测，难道当初的选择是不对的，每个人都希望是最聪明的···”---李妍智《全民公主》片尾曲《我的笨是故意的》。 ​​​

187 :“明明白白我的心，渴望一份真感情，曾经为爱伤透了心，为什么甜蜜的梦容易醒。你有一双温柔的眼睛，你有善解人意的心灵，如果你愿意，请让我靠近...”——李宗盛梁静茹《明明白白我的心》 ​​​

188 :《迪士尼欢笑一刻》第2集    0Jbeil，：2010年，迪士尼全球启动了一个以“欢笑一刻”为主题的米奇综合娱乐内容。每年将通过经典重制或创新演绎。 ​​​

189 :元旦已过，新的放假政策想必诸位已经体会到啦！新年新气象，这就给大家换换心情，人非圣贤，孰能没二过，更何况是牛人，他们恶搞和犯二的功力也绝非我等普通青年能比的！ ​​​

190 :“江南的雨啊，连绵不断，它在耳边呼唤，乱我心弦。千年的雨啊，怎能洗去，我们曾在前世，注定的缘。江南的雨绵绵，你的泪儿涟涟，心中的话深藏，都是思念...”——百川《江南雨》 ​​​

191 :近年来事业风生水起的谢霆锋受邀《最佳男主角》并接受黎芷珊的近距离访问。节目上，谢霆锋自爆曾经患上皮肤癌，令不少粉丝闻言大惊失色。 ​​​

192 :Coldplay最新专辑《Mylo Xyloto》里面一首很好听的歌曲《Hurts Like Heaven》。旋律动听，慷慨激昂，延续了之前几张专辑的风格，并融入了一些电子音乐元素。 ​​​

193 :萌宝碰到“奇怪”食物爆笑反应合集，粑粑麻麻~~你们为什么要如此对待我？让我安静的吃个饭不行吗？！ ​​​

194 :美国性感舞曲黑妹！迈阿密流行女歌手Ceresia 最新单曲《I Need Your Love》！好听哦！~ ​​​

195 :吉他大师尼古拉·德·安吉利斯《悲伤的西班牙》，超美的享受，一帘飘雪，一杯香茗，一卷诗书，静静沉醉在一个人的世界里，真好！ ​​​

196 :【上古世纪韩服影刃法师极限杀人秀视频】#分享视频#[Le]上古世纪PVP韩服 飘逸灵动的法师--影刃法师的极限杀人秀   LXwl2H ​​​

197 :一个月，消沉了整整一个月当她终于可以没事人一样出现在众人面前云淡风清地讨论那个男人时，朋友都说她潇洒：看你还是这么滋润想来对他感情也并不深厚吧……她苦笑没有回答，回到家盯着母亲看了许久：妈，我觉得你瘦了…… ​​​

198 :这群倒霉孩子！把爹吓的尿不出了！ ​​​

199 :NMB48将于11月5日发行新单曲《らしくない》，新曲由白間美瑠和矢倉楓子担任双center，完整版PV已经释出。PV描写了妹子们在音乐学校的学习生活，柏木由纪被キダ?タロー饰演的老师打耳光的场面，封面上全员浑身泡泡一起打闹的场面都在里面哦！ ​​​

200 :【索饭们欢呼吧！虚拟偶像“初音未来”登陆索尼PS4】虚拟歌姬初音未来人气很旺，一直很受玩家们的喜爱。在此次的游戏开发者大会的PlayStation展台中上，我们就看到了葱娘的身影。现场，官方为我们演示了PlayStation 4的AR增强现实光影技术。媒体特别在现场将该演示的画面摄录，仅供参考。 ​​​

201 :风暴英雄史诗操作EP19 乌瑟尔灵魂双杀 ​​​

202 :【男生答青春是什么：长得好看才有青春】浙江卫视街头采访“青春是什么”，58秒的地方一名男生回答：“长得好看的人才有青春，像我们这种人只有大学了”。啊，多么痛的领悟~ ​​​

203 :萌妹子教你如何反击；屌丝CEO展示泡妞绝技；成龙大哥代言霸王防脱洗发液duang火遍网络；俄罗斯战斗民族宝宝霸气笑声！ ​​​

204 :《碧奇魂》16话，在人类的历史和传说中记载着许多妖魔鬼怪的故事，很少有人知道他们是真正存在的，而它们的本来面目竟然是一种植物生命体。日本传说中的荒神也是这种植物生 命体。而传说中被从高天原流放的天照大神之弟须佐之男竟然是它们的首领。 ​​​

205 :【“冰桶挑战”肆虐电竞圈 DOTA、LOL解说出镜献爱心】 “冰桶挑战、”近期在全球肆虐，而在中国，我们也有许多各行各业的名人被点名，而现在，这股冰桶挑战风也蔓延到电竞圈。魔兽、LOL、DOTA、星际圈各个知名人物现身，一起来看看这些勇敢并且有爱心的电竞人吧！ ​​​

206 :结果他发现客厅沙发上坐着一位和老婆一模一样的女人。老婆说：“婚前和你谈恋爱的其实昰这位，我的双胞胎妹妹…” ​​​

207 :姐弟俩一起挂在床上的画面好欢乐啊，再来点音乐配音更完美了~~这么可爱的宝宝视频，不分享都对不起自己了！ ​​​

208 :《初瓣》 03话，主人公是15岁的熊鹰艺术学院新生“麻井麦”——一个非常不善于和别人说话的女生。由于性格的内向,一紧张就完全讲不出话。平时的口头禅也总是：“我不行,我不行！”而就是这样一个害羞内向的女生也不知是为何原因...... ​​​

209 :这些还是人吗？拍了1000遍才成功的牛逼视频，太强悍了！第一次见这么强悍的视频。你能做到里面的其中一点，算你狠。 ​​​

210 :好珍贵！中韩人气美女组合f（x）最新演绎出道单曲LA chA TA。 ​​​

211 :【冷艳御姐男女通杀！《死或生5：终极版》新DLC预告片】Team Ninjia打造的高福利卖肉格斗大作《死或生5：终极版》早前曾公布过一个神秘新角色：霞的克隆体、“Alpha计划”的最新原型“PHASE-4”。在近日公布的最新DLC预告片中我们得以见识到PHASE-4强悍飘逸的身手，一起来欣赏下吧！ ​​​

212 :班得瑞《水晶球》，从头到尾只强调一种轻柔的绝对性，没有艰涩难懂的曲风，没有生硬的个人风格，不只是悦耳好听，同时也是最纯净、最一尘不染的新世纪音乐典范！ ​​​

213 :日本音乐人吉田洁的作品《遥远的旅途》，生命是遥远的旅途，时间是距离的岁月，我不知道前方有何风景，而只能踏上这段旅途，这乐曲，或低吟，或咆哮，疲惫的身体瘫痪了，泛滥的思绪弥漫了居室，蔓延到了天外，那么多的憧憬，这一刻奔涌而来:奇幻的旅途，美丽的风景，未来的希望。 ​​​

214 :双胞胎你们能否再萌点~~哈哈~小头发都甩起来啦！真是太可爱了！你是不是也想要一对啊？！ ​​​

215 :女友：“怎么不关你的事了，我一个人拿的了这么多吗？” ​​​

216 :炉石传说之逗鱼时刻：板娘和小圆的数学口算之争 ​​​

217 :DOTA2离子解说 ZSMJ小鱼人 vs 战神7女王 马甲第一视角 ​​​

218 :战斗民族碉堡少年的日常！高空人体旗帜，膝盖给你就是了，这样刺激的人生真的好吗？ ​​​

219 :【奶茶刘若英《生命有一种绝对》】收录的是小巨蛋那场的，首体那场的安可更让我震撼。回忆中那个少年为何依然不停的追~~~ ​​​

220 :钢之炼金术师主题曲OP，喜欢钢仔的朋友可以看看哦。YUI的声音真的热血爆了，这首《again》每次都让我热血沸腾。 ​​​

221 :大尺度福利来咯，塔塔妹诱惑古装！哇唔~好吧！想承认歌曲神马都已经不重要了！~ ​​​

222 :Death Cab for Cutie《Title and Registration》这mv有点奇怪，但这个乐队的歌还是一如既往的好听。 ​​​

223 :《草莓棉花糖》 6话，故事是围绕着四个可爱伶俐的小学生和一个20岁的女大学生展开的…同时也是一部把日常生活刻画得十分有趣动人的作品，整个动画片充满着流行时尚,有些幼稚的举动，以及一些迷糊加少许深入的小哲理，让你意想不到...... ​​​

224 :新生代歌手段林希于近日推出首张个人唱片《我们》，正能量同名主打歌曲《我们》MV曝光。这是一首唱给家人的歌，从头至尾段林希一个人面对镜头，用自己最真实的方式讲述自己的成长经历，用声音向镜头后面的亲人传递自己问候... ​​​

225 :魔幻仙踪：第2集。 ​​​

226 :恐怖银河战舰！皇马2013——14赛季全部160球，那些球场上的经典时刻，你还记得吗？！ ​​​

227 :吊炸天的单杠健身锻炼，肌肉男炫技反重力花式单杠，小器材大动作，赶紧练起来吧！ ​​​

228 :徐子珊出席时尚颁奖礼一袭鲜红露肩连身裙，中门大开露双峰，脊椎伤患未愈又穿高跟。 ​​​

229 :【经典“团队混战”再现！《虚幻竞技场4》开发者日志】要说虚幻引擎打造游戏的典范，Epic公司自家的《虚幻竞技场4》肯定能名列前茅。最近他们公布了一段最新的开发者日志，其中首次展示了游戏中的“团队混战”模式。这一模式也是《虚幻竞技场》系列中的经典模式。 ​​​

230 :阿U 第五季：第2集. ​​​

231 :糟糕，钱包没带。她会不会感觉我是故意为难她，她会不会感觉我很不地道。“笨蛋，没带钱包？一会请我吃饭，我马上下班了”她的声音在耳边响起，很甜。 ​​​

232 :“不，这是你们的杰作。”毕加索一句话使这个德军官瞠目结舌。 ​​​

233 :【炉石传说啦啦啦竞技场：牧师12胜干干净净清清白白】#分享视频#【啦啦啦炉石传说竞技场109】牧师12胜干干净净清清白白 cf07vg ​​​

234 :"医生认为可以丢掉了，但我的律师认为还不行。” ​​​

235 :岸部真明(Masaaki Kishibe)是日本新生代的演奏家，其作品风格非常的多元化，既有优美清新的吉他独奏小品，又有另类的独奏作品，一起来聆听他的《Time travel》。 ​​​

236 :“当我开始学会向人生提问题，而不是要答案的时候，当我准备试着向未来跑过去，而不是懒得动的时候···”---《美丽的契约》片尾曲《自有安排》。 ​​​

237 :格策为拜仁打破僵局、奥巴梅扬单骑闯关···来看看本周德甲官方为您挑选的五佳球吧！ ​​​

238 :炉石传说之佳人伐木机耐普图隆托什雷三橙萨满11胜 ​​​

